,Time,Latitude,Longitude,Elevation,Distance,Heart_rate,Speed,Cadence,Lap,HR_smooth,Distance_miles,Elevation_feet,dElevation
11027,2020-02-16 11:05:31+00:00,43.794474536553025,12.1135837957263,1071.6,82425.23,155.0,2.715,334.0,1,155.3,51.21679073408975,3515.7052799999997,0.6561599999990904
11028,2020-02-16 11:05:32+00:00,43.79444947466254,12.113588908687234,1072.4,82428.03,155.0,2.799,334.0,1,155.35,51.218530577752375,3518.3299200000006,2.624640000000909
11029,2020-02-16 11:05:33+00:00,43.7944258376956,12.11359511129558,1072.8,82430.85,156.0,2.818,342.0,1,155.45,51.22028284886973,3519.64224,1.312319999999545
11030,2020-02-16 11:05:34+00:00,43.79440253600478,12.113602655008435,1073.4,82433.65,155.0,2.809,320.0,1,155.5,51.22202269253234,3521.6107200000006,1.9684800000004543
11031,2020-02-16 11:05:35+00:00,43.79437864758074,12.113612797111273,1073.8,82436.49,155.0,2.846,316.0,1,155.55,51.22378739110443,3522.92304,1.312319999999545
11032,2020-02-16 11:05:36+00:00,43.794354759156704,12.113625286146998,1074.0,82439.36,155.0,2.865,298.0,1,155.55,51.225570730858614,3523.5792,0.6561599999999999
11033,2020-02-16 11:05:37+00:00,43.794329110533,12.113638781011105,1074.2,82442.21,155.0,2.846,284.0,1,155.55,51.22734164315807,3524.23536,0.6561599999999999
11034,2020-02-16 11:05:38+00:00,43.794303964823484,12.113653281703591,1074.4,82445.03,154.0,2.818,290.0,1,155.5,51.22909391427542,3524.8915200000006,0.6561600000004546
11035,2020-02-16 11:05:39+00:00,43.79427881911397,12.11367079988122,1074.6,82447.85,154.0,2.827,286.0,1,155.4,51.23084618539278,3525.5476799999997,0.6561599999990904
11036,2020-02-16 11:05:40+00:00,43.79425358958542,12.113689491525292,1074.8,82450.7,154.0,2.846,314.0,1,155.3,51.23261709769222,3526.20384,0.6561600000004546
11037,2020-02-16 11:05:41+00:00,43.79423012025654,12.11370893754065,1074.8,82453.56,154.0,2.865,302.0,1,155.2,51.23439422371904,3526.20384,0.0
11038,2020-02-16 11:05:42+00:00,43.79420614801347,12.11372897028923,1075.0,82456.43,154.0,2.865,288.0,1,155.1,51.23617756347323,3526.86,0.6561599999999999
11039,2020-02-16 11:05:43+00:00,43.794182846322656,12.113747913390398,1075.0,82459.26,154.0,2.827,290.0,1,155.0,51.23793604831794,3526.86,0.0
11040,2020-02-16 11:05:44+00:00,43.79416122101247,12.113768197596073,1075.2,82462.06,154.0,2.809,300.0,1,154.9,51.23967589198057,3527.51616,0.6561599999999999
11041,2020-02-16 11:05:45+00:00,43.79413867369294,12.113788900896907,1075.4,82464.84,154.0,2.771,334.0,1,154.8,51.24140330818845,3528.1723200000006,0.6561600000004546
11042,2020-02-16 11:05:46+00:00,43.794117383658886,12.113808011636138,1075.6,82467.53,154.0,2.697,358.0,1,154.75,51.24307480085004,3528.8284799999997,0.6561599999990904
11043,2020-02-16 11:05:47+00:00,43.79409659653902,12.11382670328021,1075.8,82470.21,153.0,2.669,350.0,1,154.6,51.244740079784265,3529.48464,0.6561600000004546
11044,2020-02-16 11:05:48+00:00,43.79407664760947,12.113846903666854,1076.0,82472.84,154.0,2.631,362.0,1,154.5,51.24637429008165,3530.1408,0.6561599999999999
11045,2020-02-16 11:05:49+00:00,43.79405602812767,12.113866433501244,1076.2,82475.53,154.0,2.687,374.0,1,154.4,51.24804578274324,3530.79696,0.6561599999999999
11046,2020-02-16 11:05:50+00:00,43.79403440281749,12.11388478986919,1076.4,82478.23,154.0,2.706,356.0,1,154.35,51.249723489132194,3531.4531200000006,0.6561600000004546
11047,2020-02-16 11:05:51+00:00,43.79401235841215,12.113902978599072,1076.6,82481.0,154.0,2.771,334.0,1,154.3,51.25144469161271,3532.1092799999997,0.6561599999990904
